league,group,team,player_number,player_name,left,top,success,game_index,rival,home
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,29,P. GARINO GULLOTTA,29.7602,81.2952,False,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,6,L. GIOVANNETTI,12.976,47.1386,False,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,8,G. FILIPOVIC,9.80254,48.1469,False,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,29,P. GARINO GULLOTTA,12.3413,47.8948,True,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,29,P. GARINO GULLOTTA,7.05219,47.0126,False,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,1,A. GONZÁLEZ PÉREZ,12.6939,48.6511,True,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,19,H. LOPEZ BARRANTES,9.37941,49.2813,True,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,6,L. GIOVANNETTI,8.67419,47.1386,True,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,29,P. GARINO GULLOTTA,11.0719,45.8782,False,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,22,J. VAULET,17.6305,48.9032,False,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,9,S. SALIN,28.914,84.3712,True,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,6,L. GIOVANNETTI,32.6516,17.8975,True,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,1,A. GONZÁLEZ PÉREZ,11.5656,47.0126,False,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,6,L. GIOVANNETTI,17.3484,3.52909,False,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,11,J. GRANGER,21.3681,78.4473,False,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,24,L. NWOGBO,6.699600000000004,48.5761,True,1,GRUPO URETA TIZONA BURGOS,True
COPA ESPAÑA,Play-offs 1/4 Final,MOVISTAR ESTUDIANTES,8,G. FILIPOVIC,36.5303,52.0541,False,1,GRUPO URETA TIZONA BURGOS,True
