league,group,team,player_number,player_name,left,top,success,game_index,rival,home
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,3,S. KONE,8.674199999999999,39.6273,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,9,C. MUHATE PEÑA,11.8477,27.7286,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,20,M. GRETTER,13.8928,25.3339,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,23,M. GARRICK,18.4062,45.6772,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,23,M. GARRICK,22.496499999999997,67.9861,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,26,M. ÄIJÄNEN,34.767300000000006,41.3918,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,20,M. GRETTER,27.2214,14.4945,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,3,S. KONE,25.2468,87.5972,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,12,M. GEA BECERRA,8.11001,36.6774,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,23,M. GARRICK,18.4062,34.8378,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,2,M. CONNER,24.4006,29.7452,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,3,S. KONE,34.9083,36.7284,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,3,S. KONE,17.842,54.4999,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,20,M. GRETTER,28.6319,83.4379,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,23,M. GARRICK,9.87306,28.6109,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,23,M. GARRICK,28.490799999999993,22.359899999999996,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,9,C. MUHATE PEÑA,33.35680000000001,32.064899999999994,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,9,C. MUHATE PEÑA,13.258099999999999,39.3752,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,3,S. KONE,10.507800000000003,39.2492,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,12,M. GEA BECERRA,13.9633,36.1732,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,2,M. CONNER,23.5543,88.9836,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,9,C. MUHATE PEÑA,16.361099999999993,49.2063,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,26,M. ÄIJÄNEN,33.427400000000006,65.96940000000001,False,1,SPAR GIRONA,True
