league,group,team,player_number,player_name,left,top,success,game_index,rival,home
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,7.616399999999999,46.6345,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,24,M. GIL LLIMONA,7.75741,54.701,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,11,H. RUIZ ZAMORANO,20.8745,7.05819,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,7.61636,46.3824,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,34,D. NIEBLA SANTOS,20.945,38.694,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,11,H. RUIZ ZAMORANO,26.657300000000006,89.8659,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,8.744699999999995,57.7259,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,7.12271,54.701,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,8.039500000000004,46.0043,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,9.026799999999994,94.4033,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,10,M. BUBEN,9.0268,43.9876,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,28.349800000000002,13.2341,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,6.558499999999995,4.53741,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,9.026799999999994,46.5084,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,10,M. BUBEN,30.536,87.8492,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,18.1946,4.78948,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,8.321600000000004,46.2563,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,7.898399999999995,57.978,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,30.888599999999997,28.6109,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,26.657300000000006,15.1247,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,8.603700000000003,59.3644,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,36.0367,66.8007,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,11,H. RUIZ ZAMORANO,24.8942,11.0914,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,9.873099999999994,42.8533,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,34.7673,46.0043,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,8.885800000000003,45.5001,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,33.1453,24.8297,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,10,M. BUBEN,6.1354,4.66345,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,11,H. RUIZ ZAMORANO,34.9083,48.399,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,27.7151,18.4017,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,32.9337,67.1788,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,22.426000000000002,9.95709,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,24,M. GIL LLIMONA,8.32158,36.6774,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,37.3766,49.4073,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,7.54584,53.8187,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,9.590999999999994,47.1386,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,10.437200000000004,51.55,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,10,M. BUBEN,4.58392,94.5293,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,9.44993,44.4918,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,24,M. GIL LLIMONA,9.37941,56.8436,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,8.11,58.8602,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,7.82793,47.3907,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,29.478099999999998,87.219,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,10.930899999999994,40.3325,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,11,H. RUIZ ZAMORANO,4.58392,4.03325,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,34.7673,69.5736,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,7.334299999999999,92.5127,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,11.495099999999994,37.3076,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,21.791300000000007,62.5154,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,10,M. BUBEN,7.82793,50.6677,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,26.093100000000007,10.2092,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,8.251099999999994,56.9697,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,24,M. GIL LLIMONA,7.05219,52.0541,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,11,H. RUIZ ZAMORANO,11.0719,44.2397,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,13.258099999999999,58.9863,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,11.212999999999994,31.1317,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,7.5458,46.6345,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,23.977400000000003,90.244,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,10.930899999999994,40.3325,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,11,H. RUIZ ZAMORANO,26.0226,88.1013,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,6.91114,48.0209,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,31.452699999999993,89.6138,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,7.616399999999999,49.0292,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,10,M. BUBEN,24.5416,11.4696,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,8.674199999999999,44.9959,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,30.6065,81.9254,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,7.33427,58.8602,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,20.5924,34.6607,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,34,D. NIEBLA SANTOS,30.536,21.1746,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,7.82793,47.3907,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,7.8279,47.1386,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,24,F. TORREBLANCA CATALAN,7.2637,53.6926,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,24,F. TORREBLANCA CATALAN,6.7701,52.5583,False,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,20,J. PUMAROLA AGUILAR,7.12271,44.7439,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,20,J. PUMAROLA AGUILAR,10.437200000000004,49.9115,False,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,23,L. SANCHEZ FERNANDEZ,7.4048,44.1137,False,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,9,B. JEKABSONS,12.905500000000004,4.28533,False,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,9,B. JEKABSONS,4.16079,95.5376,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,9,B. JEKABSONS,6.2059,4.78948,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,2,I. FRANCISCO,38.4344,45.7522,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,17,G. NASPLER PEREZ,8.32158,55.5832,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,24,F. TORREBLANCA CATALAN,34.9083,25.4599,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,77,S. LEDERMAN,8.815200000000004,5.41968,False,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,3,M. ROSELL LANZA,10.437200000000004,49.9115,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,23,L. SANCHEZ FERNANDEZ,9.238399999999999,52.0541,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,14,G. ECKER ALBERTI,19.9577,92.1346,False,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,11,L. BERGSENG,22.6375,59.2384,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,9,B. JEKABSONS,25.7405,11.0914,False,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,3,M. ROSELL LANZA,26.1636,85.9586,False,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,20,J. PUMAROLA AGUILAR,7.47532,46.2563,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,77,S. LEDERMAN,7.686899999999994,53.6926,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,20,J. PUMAROLA AGUILAR,27.2214,86.4628,False,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,3,M. ROSELL LANZA,19.323,91.3783,True,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,9,B. JEKABSONS,27.9267,87.4711,False,2,JOVENTUT BADALONA,False
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,20,J. PUMAROLA AGUILAR,9.87306,4.15929,False,2,JOVENTUT BADALONA,False
