league,group,team,player_number,player_name,left,top,success,game_index,rival,home
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,0,F. GARRIDO TEBAN,24.8237,88.4794,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,11.0719,44.1137,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,22,E. COLL COMABELLA,22.6375,6.42799,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,3,S. HALL,6.1354,37.8117,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,5.9238,47.0126,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,21,E. KALU,8.03949,57.978,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,22.2144,5.7978,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,5.007099999999994,60.8769,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,25.1763,47.3907,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,3,S. HALL,30.7475,25.3339,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,10,S. NIANG BEYE,10.860399999999998,78.0182,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,0,F. GARRIDO TEBAN,7.19323,2.8989,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,6.911100000000005,37.4336,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,15,G. MARTINEZ RIVERA,11.8477,43.2314,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,22,E. COLL COMABELLA,12.905500000000004,94.1512,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,10,S. NIANG BEYE,35.9661,63.5237,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,15,G. MARTINEZ RIVERA,37.2355,23.3172,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,3,S. HALL,31.3822,26.5942,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,5.430199999999999,62.8935,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,3,S. HALL,6.064899999999994,61.1289,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,9.4499,49.9115,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,9,N. FERRER IGLESIA,9.87306,55.4572,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,21,E. KALU,14.8096,42.0971,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,36.2482,35.417,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,22,E. COLL COMABELLA,20.380799999999994,91.5044,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,9,N. FERRER IGLESIA,5.500699999999995,36.1732,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,8.18054,43.7356,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,37.7292,23.4433,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,26.163600000000002,19.1579,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,15,G. MARTINEZ RIVERA,36.8829,42.8533,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,10,S. NIANG BEYE,8.533100000000005,42.9793,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,5.430199999999999,44.7439,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,15,G. MARTINEZ RIVERA,8.46262,54.3228,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,9,N. FERRER IGLESIA,4.936499999999995,55.0791,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,3,S. HALL,13.8223,52.3062,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,9,N. FERRER IGLESIA,6.981700000000004,46.7605,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,3,S. HALL,6.064899999999994,61.1289,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,28.208699999999993,78.3963,False,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,3,S. HALL,7.686899999999994,63.0195,True,1,CLASS BASQUET SANT ANTONI,True
SEGUNDA FEB,"Liga Regular ""ESTE""",HOMS U.E.MATARÓ,8,J. JUANOLA MADERA,8.251099999999994,39.5763,True,1,CLASS BASQUET SANT ANTONI,True
