league,group,team,player_number,player_name,left,top,success,game_index,rival,home
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,3,S. KONE,91.3258%,60.3727%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,9,C. MUHATE PEÑA,11.8477%,27.7286%,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,20,M. GRETTER,13.8928%,25.3339%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,23,M. GARRICK,81.5938%,54.3228%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,23,M. GARRICK,77.5035%,32.0139%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,26,M. ÄIJÄNEN,65.2327%,58.6082%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,20,M. GRETTER,27.2214%,14.4945%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,3,S. KONE,25.2468%,87.5972%,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,12,M. GEA BECERRA,8.11001%,36.6774%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,23,M. GARRICK,81.5938%,65.1622%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,2,M. CONNER,24.4006%,29.7452%,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,3,S. KONE,65.0917%,63.2716%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,3,S. KONE,82.158%,45.5001%,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,20,M. GRETTER,28.6319%,83.4379%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,23,M. GARRICK,9.87306%,28.6109%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,23,M. GARRICK,71.5092%,77.6401%,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,9,C. MUHATE PEÑA,66.6432%,67.9351%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,9,C. MUHATE PEÑA,86.7419%,60.6248%,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,3,S. KONE,89.4922%,60.7508%,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,12,M. GEA BECERRA,13.9633%,36.1732%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,2,M. CONNER,23.5543%,88.9836%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,9,C. MUHATE PEÑA,83.6389%,50.7937%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,26,M. ÄIJÄNEN,66.5726%,34.0306%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,23,M. GARRICK,25.8815%,16.3851%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,20,M. GRETTER,22.6375%,7.81442%,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,3,S. KONE,33.8505%,48.9032%,True,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,2,M. CONNER,68.0536%,29.3671%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,12,M. GEA BECERRA,89.3512%,70.5819%,False,1,SPAR GIRONA,True
LF ENDESA,Liga Regular Único,INGENIERÍA AMBIENTAL CAB ESTEPONA,20,M. GRETTER,84.3441%,70.834%,False,1,SPAR GIRONA,True
