league,group,team,player_number,player_name,left,top,success,game_index,rival,home
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,92.3836%,46.6345%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,24,M. GIL LLIMONA,7.75741%,54.701%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,11,H. RUIZ ZAMORANO,20.8745%,7.05819%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,7.61636%,46.3824%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,34,D. NIEBLA SANTOS,20.945%,38.694%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,11,H. RUIZ ZAMORANO,73.3427%,89.8659%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,91.2553%,57.7259%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,7.12271%,54.701%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,91.9605%,46.0043%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,90.9732%,94.4033%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,10,M. BUBEN,9.0268%,43.9876%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,71.6502%,13.2341%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,93.4415%,4.53741%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,90.9732%,46.5084%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,10,M. BUBEN,30.536%,87.8492%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,18.1946%,4.78948%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,91.6784%,46.2563%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,92.1016%,57.978%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,69.1114%,28.6109%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,73.3427%,15.1247%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,91.3963%,59.3644%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,36.0367%,66.8007%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,11,H. RUIZ ZAMORANO,24.8942%,11.0914%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,90.1269%,42.8533%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,34.7673%,46.0043%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,91.1142%,45.5001%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,33.1453%,24.8297%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,10,M. BUBEN,6.1354%,4.66345%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,11,H. RUIZ ZAMORANO,34.9083%,48.399%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,2,E. DEL CASTILLO LINDO,27.7151%,18.4017%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,67.0663%,67.1788%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,77.574%,9.95709%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,24,M. GIL LLIMONA,8.32158%,36.6774%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,62.6234%,49.4073%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,7.54584%,53.8187%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,32,F. MAURI GUILLEN,90.409%,47.1386%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,33,K. MACÍAS BOOK,89.5628%,51.55%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,10,M. BUBEN,4.58392%,94.5293%,False,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,20,A. TORRES DE LA TORRE,9.44993%,44.4918%,True,2,BAXI MANRESA,True
LIGA U,"2ª FASE Grupo ""A""",JOVENTUT BADALONA,24,M. GIL LLIMONA,9.37941%,56.8436%,True,2,BAXI MANRESA,True
