league,group,team,player_number,player_name,left,top,success,game_index,rival,home
PRIMERA FEB,Liga Regular Único,GRUPO ALEGA CANTABRIA,2,J. POWELL,27.2177%,22.1029%,False,1,CAJA RURAL CB ZAMORA,True
PRIMERA FEB,Liga Regular Único,GRUPO ALEGA CANTABRIA,3,D. ADDAE-WUSU,91.8442%,75.1181%,False,1,CAJA RURAL CB ZAMORA,True
PRIMERA FEB,Liga Regular Único,GRUPO ALEGA CANTABRIA,9,B. LUGARINI,83.5111%,41.1236%,False,1,CAJA RURAL CB ZAMORA,True
PRIMERA FEB,Liga Regular Único,GRUPO ALEGA CANTABRIA,9,B. LUGARINI,8.78535%,42.5805%,False,1,CAJA RURAL CB ZAMORA,True
PRIMERA FEB,Liga Regular Único,GRUPO ALEGA CANTABRIA,12,D. ALDERETE DIAZ,32.0183%,35.1341%,True,1,CAJA RURAL CB ZAMORA,True
PRIMERA FEB,Liga Regular Único,GRUPO ALEGA CANTABRIA,11,J. YU,13.2236%,47.6797%,False,1,CAJA RURAL CB ZAMORA,True
PRIMERA FEB,Liga Regular Único,GRUPO ALEGA CANTABRIA,3,D. ADDAE-WUSU,69.0641%,33.5962%,False,1,CAJA RURAL CB ZAMORA,True
PRIMERA FEB,Liga Regular Único,GRUPO ALEGA CANTABRIA,32,R. JOHNSON JR,8.51365%,46.3847%,True,1,CAJA RURAL CB ZAMORA,True
PRIMERA FEB,Liga Regular Único,GRUPO ALEGA CANTABRIA,32,R. JOHNSON JR,92.0706%,58.5255%,True,1,CAJA RURAL CB ZAMORA,True
PRIMERA FEB,Liga Regular Único,GRUPO ALEGA CANTABRIA,3,D. ADDAE-WUSU,88.9004%,42.7424%,False,1,CAJA RURAL CB ZAMORA,True
PRIMERA FEB,Liga Regular Único,GRUPO ALEGA CANTABRIA,32,R. JOHNSON JR,70.1057%,68.481%,False,1,CAJA RURAL CB ZAMORA,True
PRIMERA FEB,Liga Regular Único,GRUPO ALEGA CANTABRIA,8,S. RODRÍGUEZ RAMOS,69.6982%,30.2778%,True,1,CAJA RURAL CB ZAMORA,True
