league,group,team,player_number,player_name,left,top,success,game_index,rival,home
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,27,M. IGLESIAS FERNANDEZ,90.268%,7.68838%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,28,R. DIAS MARQUES LISBOA SANTOS,22.2849%,29.9973%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,27,M. IGLESIAS FERNANDEZ,90.268%,43.4835%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,9,C. OKANU,9.80254%,55.3312%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,28,R. DIAS MARQUES LISBOA SANTOS,29.9718%,80.791%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,35,R. GILL,5.92384%,55.0791%,True,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,35,R. GILL,8.81523%,94.2772%,True,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,28,R. DIAS MARQUES LISBOA SANTOS,10.2257%,56.7176%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,10,I. VAZQUEZ PEREZ,32.299%,69.1955%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,22,G. KALSCHEUR,35.1199%,44.9959%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,12,S. HUGUET CARRASCO,16.22%,50.2896%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,35,R. GILL,8.46262%,52.1802%,True,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,9,C. OKANU,92.1721%,51.8021%,True,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,35,R. GILL,90.5501%,43.6095%,True,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,10,I. VAZQUEZ PEREZ,25.1058%,52.0541%,True,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,24,S. MC DONNELL,90.0564%,53.9447%,True,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,22,G. KALSCHEUR,35.1199%,47.0126%,True,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,22,G. KALSCHEUR,10.2257%,49.9115%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,22,G. KALSCHEUR,9.87306%,54.827%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,23,D. SARAIVA SEIXAS,92.6657%,45.7522%,True,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,24,S. MC DONNELL,9.59097%,6.93215%,True,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,9,C. OKANU,91.7489%,55.5832%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,28,R. DIAS MARQUES LISBOA SANTOS,91.1848%,52.8104%,True,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,24,S. MC DONNELL,89.2102%,47.2647%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,23,D. SARAIVA SEIXAS,66.22%,38.1898%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,28,R. DIAS MARQUES LISBOA SANTOS,8.81523%,94.2772%,False,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,12,S. HUGUET CARRASCO,75.4584%,13.8643%,True,1,MOVISTAR ESTUDIANTES,True
COPA ESPAÑA,Play-offs 1/2 Final,CLOUD.GAL OURENSE BALONCESTO,10,I. VAZQUEZ PEREZ,6.34697%,81.5473%,True,1,MOVISTAR ESTUDIANTES,True
