league,group,team,player_number,player_name,left,top,success,game_index,rival,home
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,11,C. BIEG SALAZAR,30.0423%,72.9766%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,0,E. MAGUIRE,6.69958%,36.1732%,True,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,10,I. TOMAS BONET,24.4006%,9.95709%,True,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,0,E. MAGUIRE,70.5219%,70.3298%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,0,E. MAGUIRE,6.91114%,95.2855%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,2,A. BARNEDA DE SANTOS,82.0169%,52.6843%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,16,P. GARCIA GARCIA,16.4316%,94.6553%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,0,E. MAGUIRE,5.99436%,6.68007%,True,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,77,M. DIOP,15.8674%,55.4572%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,12,C. CARRAL MAZA,6.91114%,59.2384%,True,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,77,M. DIOP,8.11001%,60.6248%,True,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,16,P. GARCIA GARCIA,91.7489%,52.5583%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,16,P. GARCIA GARCIA,14.8096%,60.1206%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,0,E. MAGUIRE,66.079%,48.0209%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,16,P. GARCIA GARCIA,83.4274%,93.0168%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,16,P. GARCIA GARCIA,93.3004%,61.7591%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,16,P. GARCIA GARCIA,18.3357%,54.3228%,True,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,77,M. DIOP,5.99436%,20.9225%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,8,A. MOYANO MEDINA,24.189%,86.3368%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,77,M. DIOP,87.5882%,48.0209%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,0,E. MAGUIRE,89.9154%,92.6387%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,12,C. CARRAL MAZA,72.6375%,17.2674%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,2,A. BARNEDA DE SANTOS,24.189%,68.1871%,False,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,16,P. GARCIA GARCIA,6.98166%,46.0043%,True,1,TALENOM BOET MATARÓ,True
L.F.-2,"Liga Regular ""B""",HORBISA SPIRIT GREENKW BARAKALDO,77,M. DIOP,94.5698%,74.3631%,False,1,TALENOM BOET MATARÓ,True
