league,group,team,player_number,player_name,left,top,success,game_index,rival,home
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,3,M. ROSELL LANZA,16.3611%,48.6511%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,24,F. TORREBLANCA CATALAN,33.4979%,46.1303%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,15,J. SALO BLAYA,8.53315%,62.8935%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,23,L. SANCHEZ FERNANDEZ,78.4203%,56.8436%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,3,M. ROSELL LANZA,6.48801%,93.395%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,6,M. OLVERA GIMENEZ,91.0437%,57.0957%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,9,B. JEKABSONS,80.8181%,47.0126%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,11,L. BERGSENG,15.3738%,51.2979%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,17,G. NASPLER PEREZ,86.6009%,47.5167%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,9,B. JEKABSONS,85.402%,24.3255%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,11,L. BERGSENG,33.0042%,50.4156%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,23,L. SANCHEZ FERNANDEZ,11.1425%,31.2577%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,15,J. SALO BLAYA,89.9859%,51.0458%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,17,G. NASPLER PEREZ,86.8124%,32.0139%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,11,L. BERGSENG,23.9774%,48.399%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,15,J. SALO BLAYA,9.30889%,38.9461%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,23,L. SANCHEZ FERNANDEZ,67.9126%,40.9627%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,9,B. JEKABSONS,73.6248%,16.259%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,11,L. BERGSENG,14.457%,42.4752%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,15,J. SALO BLAYA,9.30889%,38.9461%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,20,J. PUMAROLA AGUILAR,8.74471%,93.647%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,17,G. NASPLER PEREZ,7.47532%,54.4489%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,9,B. JEKABSONS,85.1199%,50.7937%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,17,G. NASPLER PEREZ,93.1594%,58.6082%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,11,L. BERGSENG,14.9506%,40.2065%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,77,S. LEDERMAN,90.0564%,21.3006%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,15,J. SALO BLAYA,33.2863%,50.9198%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,3,M. ROSELL LANZA,96.4739%,91.5044%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,20,J. PUMAROLA AGUILAR,86.2482%,41.7189%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,24,F. TORREBLANCA CATALAN,75.2468%,15.3768%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,17,G. NASPLER PEREZ,5.35966%,92.0085%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,2,I. FRANCISCO,73.6248%,62.0112%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,23,L. SANCHEZ FERNANDEZ,10.6488%,40.9627%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,2,I. FRANCISCO,89.5628%,70.834%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,15,J. SALO BLAYA,91.6079%,55.8353%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,77,S. LEDERMAN,22.708%,90.6221%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,24,F. TORREBLANCA CATALAN,18.8999%,48.7771%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,6,M. OLVERA GIMENEZ,90.3385%,5.54572%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,23,L. SANCHEZ FERNANDEZ,90.1975%,62.3893%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,23,L. SANCHEZ FERNANDEZ,27.9267%,79.4046%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,20,J. PUMAROLA AGUILAR,71.0155%,78.0182%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,20,J. PUMAROLA AGUILAR,76.6573%,12.3518%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,2,I. FRANCISCO,26.0226%,16.7632%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,23,L. SANCHEZ FERNANDEZ,91.6079%,55.8353%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,2,I. FRANCISCO,33.2863%,50.9198%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,20,J. PUMAROLA AGUILAR,89.7038%,48.0209%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,3,M. ROSELL LANZA,24.1185%,86.2107%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,6,M. OLVERA GIMENEZ,89.3512%,50.6677%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,24,F. TORREBLANCA CATALAN,74.8237%,15.1247%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,23,L. SANCHEZ FERNANDEZ,84.1326%,61.6331%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,11,L. BERGSENG,11.0014%,59.6165%,False,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,9,B. JEKABSONS,75.4584%,13.2341%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,9,B. JEKABSONS,9.44993%,46.3824%,True,1,REAL MADRID,True
LIGA U,"2ª FASE Grupo ""A""",BAXI MANRESA,14,G. ECKER ALBERTI,21.5797%,12.3518%,False,1,REAL MADRID,True
