league,group,team,player_number,player_name,left,top,success,game_index,rival,home
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,33,M. TORRES CUEVAS,5.48611%,92.961%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,22,J. WALKER,93.8194%,3.35106%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,22,J. WALKER,67.0139%,63.5461%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,21,A. JORDA RODRIGUEZ,94.9306%,70.6206%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,13,K. LARSEN,6.45833%,45.3014%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,33,M. TORRES CUEVAS,94.9306%,53.617%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,21,A. JORDA RODRIGUEZ,94.4444%,44.9291%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,3,U. MENDICOTE RUBIO,94.6528%,44.4326%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,8,J. MWEMA,91.3889%,4.96454%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,13,K. LARSEN,15.4167%,46.5426%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,14,I. TAMBA VILLEN,6.45833%,43.4397%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,21,A. JORDA RODRIGUEZ,6.875%,4.96454%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,13,K. LARSEN,74.6528%,35.1241%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,13,K. LARSEN,31.5972%,28.422%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,33,M. TORRES CUEVAS,24.5833%,27.1809%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,23,D. GEU,94.2361%,52.6241%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,13,K. LARSEN,68.0556%,36.9858%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,34,B. DAVISON,79.7917%,9.80496%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,21,A. JORDA RODRIGUEZ,75.2083%,64.0426%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,22,J. WALKER,71.5278%,23.9539%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,8,J. MWEMA,7.5%,92.961%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,23,D. GEU,93.125%,54.734%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,23,D. GEU,6.04167%,56.5957%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,33,M. TORRES CUEVAS,91.0417%,4.84043%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,8,J. MWEMA,17.0139%,93.4574%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,33,M. TORRES CUEVAS,26.1806%,13.6525%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,34,B. DAVISON,78.8889%,10.4255%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,14,I. TAMBA VILLEN,5.48611%,55.727%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,13,K. LARSEN,74.9306%,86.383%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,3,U. MENDICOTE RUBIO,4.93056%,53.4929%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,3,U. MENDICOTE RUBIO,5.76389%,55.727%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,8,J. MWEMA,35.0694%,61.4362%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,21,A. JORDA RODRIGUEZ,81.875%,47.5355%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,8,J. MWEMA,67.7083%,34.8759%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,22,J. WALKER,33.9583%,26.1879%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,33,M. TORRES CUEVAS,76.3889%,49.6454%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,22,J. WALKER,70.1389%,74.4681%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,23,D. GEU,94.4444%,56.0993%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,8,J. MWEMA,87.6389%,48.2801%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,22,J. WALKER,8.40278%,46.6667%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,23,D. GEU,6.31944%,45.7979%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,3,U. MENDICOTE RUBIO,4.86111%,46.4184%,True,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,22,J. WALKER,4.44444%,52.5%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,23,D. GEU,94.9306%,56.4716%,False,1,CLUB OURENSE BALONCESTO,True
PRIMERA FEB,Liga Regular Único,HLA ALICANTE,3,U. MENDICOTE RUBIO,93.0556%,56.4716%,True,1,CLUB OURENSE BALONCESTO,True
