league,group,team,player_number,player_name,left,top,success,game_index,rival,home
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,5,H. FIGUEROA ÁLVAREZ,28.2793%,82.0514%,False,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,5,H. FIGUEROA ÁLVAREZ,81.5938%,42.0971%,False,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,17,G. RODRIGUEZ SOLER,79.1961%,56.7176%,False,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,10,J. FRITZ,68.0536%,14.7466%,False,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,15,P. LOPEZ-SANVICENTE RETA,6.06488%,52.4323%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,77,G. VAZQUEZ VALLEJO,8.03949%,51.9281%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,5,H. FIGUEROA ÁLVAREZ,7.33427%,48.399%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,8,A. SMITH,87.8702%,54.953%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,8,A. SMITH,93.3004%,53.9447%,False,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,10,J. FRITZ,12.2003%,42.2231%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,8,A. SMITH,88.4344%,46.5084%,False,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,8,A. SMITH,13.3286%,49.5334%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,77,G. VAZQUEZ VALLEJO,59.9436%,53.3145%,False,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,10,J. FRITZ,84.9788%,41.2148%,False,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,10,J. FRITZ,7.33427%,61.255%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,15,P. LOPEZ-SANVICENTE RETA,84.0621%,46.3824%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,0,O. THIAM PEDRERA,87.2355%,49.5334%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,15,P. LOPEZ-SANVICENTE RETA,89.9859%,54.827%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,5,H. FIGUEROA ÁLVAREZ,13.1876%,49.5334%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,1,O. BIESHAAR,68.5473%,82.4296%,False,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,77,G. VAZQUEZ VALLEJO,87.3766%,21.9308%,False,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,5,H. FIGUEROA ÁLVAREZ,30.1834%,83.0598%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,8,A. SMITH,92.3836%,46.7605%,True,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,11,A. BADMUS,14.6685%,53.5666%,False,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,77,G. VAZQUEZ VALLEJO,68.0536%,14.7466%,False,1,BIELE ISB,True
SEGUNDA FEB,ELIMINATORIAS 1/8 Final,LOBE HUESCA LA MAGIA,5,H. FIGUEROA ÁLVAREZ,13.2581%,28.7369%,False,1,BIELE ISB,True
