league,group,team,player_number,player_name,left,top,success,game_index,rival,home
TERCERA FEB,"Liga Regular ""C-B""",SA TINTINA CB ES CASTELL MENORCA,6,G. GARCÍA RIERA,83.921%,95.0335%,False,1,C.B. GRANOLLERS,True
TERCERA FEB,"Liga Regular ""C-B""",SA TINTINA CB ES CASTELL MENORCA,1,S. LLUFRIU ARCOS,8.11001%,51.676%,False,1,C.B. GRANOLLERS,True
TERCERA FEB,"Liga Regular ""C-B""",SA TINTINA CB ES CASTELL MENORCA,1,S. LLUFRIU ARCOS,8.11001%,47.5167%,True,1,C.B. GRANOLLERS,True
TERCERA FEB,"Liga Regular ""C-B""",SA TINTINA CB ES CASTELL MENORCA,22,J. HERNANDEZ GIMENEZ,69.2525%,74.237%,False,1,C.B. GRANOLLERS,True
TERCERA FEB,"Liga Regular ""C-B""",SA TINTINA CB ES CASTELL MENORCA,10,M. CORBERA BUSQUETA,90.5501%,60.4988%,False,1,C.B. GRANOLLERS,True
TERCERA FEB,"Liga Regular ""C-B""",SA TINTINA CB ES CASTELL MENORCA,15,R. GOMEZ PRIVAT,90.9027%,40.5846%,False,1,C.B. GRANOLLERS,True
TERCERA FEB,"Liga Regular ""C-B""",SA TINTINA CB ES CASTELL MENORCA,29,J. GASCON TORNE,89.5628%,56.3395%,False,1,C.B. GRANOLLERS,True
TERCERA FEB,"Liga Regular ""C-B""",SA TINTINA CB ES CASTELL MENORCA,22,J. HERNANDEZ GIMENEZ,24.8237%,31.6358%,False,1,C.B. GRANOLLERS,True
TERCERA FEB,"Liga Regular ""C-B""",SA TINTINA CB ES CASTELL MENORCA,6,G. GARCÍA RIERA,6.41749%,48.9032%,True,1,C.B. GRANOLLERS,True
TERCERA FEB,"Liga Regular ""C-B""",SA TINTINA CB ES CASTELL MENORCA,34,S. NDOYE,86.2482%,44.3658%,True,1,C.B. GRANOLLERS,True
TERCERA FEB,"Liga Regular ""C-B""",SA TINTINA CB ES CASTELL MENORCA,1,S. LLUFRIU ARCOS,90.3385%,56.5915%,False,1,C.B. GRANOLLERS,True
