team,player_number,player_name,left,top,success,game_index,rival,home
TOSCONES CORRALEJO,34,E. OGUNFOLU,67.0663%,81.1692%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,8,M. PEREZ CHAFINO,90.1269%,48.525%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,30,A. ALONSO LANTIGUA,28.4203%,13.4862%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,17,A. PEREZ GALVAN,32.3695%,18.5277%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,9,G. GUERRA LOZANO,14.1749%,52.1802%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,8,M. PEREZ CHAFINO,69.1819%,21.6787%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,9,G. GUERRA LOZANO,87.9408%,60.4988%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,30,A. ALONSO LANTIGUA,29.4076%,78.2703%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,11,P. DIOP,29.5487%,83.816%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,34,E. OGUNFOLU,33.0042%,23.9474%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,8,M. PEREZ CHAFINO,11.8477%,50.4156%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,34,E. OGUNFOLU,70.8039%,78.6484%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,8,M. PEREZ CHAFINO,88.5755%,51.8021%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,34,E. OGUNFOLU,19.3935%,23.0652%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,11,P. DIOP,89.8449%,51.1719%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,6,A. CHACON GARCIA,74.8942%,14.1164%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,9,G. GUERRA LOZANO,9.0268%,61.5071%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,17,A. PEREZ GALVAN,21.6502%,53.1885%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,17,A. PEREZ GALVAN,10.7898%,38.9461%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,34,E. OGUNFOLU,13.0465%,36.9294%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,9,G. GUERRA LOZANO,29.8307%,81.4212%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,11,P. DIOP,85.3315%,46.8865%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,17,A. PEREZ GALVAN,10.7193%,46.2563%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,34,E. OGUNFOLU,67.9126%,71.9683%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,34,E. OGUNFOLU,69.7461%,25.838%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,9,G. GUERRA LOZANO,30.8181%,72.9766%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,34,E. OGUNFOLU,31.8054%,76.8838%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,11,P. DIOP,85.1904%,93.1429%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,17,A. PEREZ GALVAN,28.7729%,17.7715%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,6,A. CHACON GARCIA,72.7786%,9.57897%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,15,M. ABITBOL VIERA,16.2906%,68.0611%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,17,A. PEREZ GALVAN,89.6333%,48.1469%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,9,G. GUERRA LOZANO,30.536%,71.8423%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,11,P. DIOP,87.165%,52.8104%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,17,A. PEREZ GALVAN,80.1834%,41.845%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,34,E. OGUNFOLU,35.543%,35.417%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,17,A. PEREZ GALVAN,90.5501%,40.3325%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,34,E. OGUNFOLU,14.9506%,31.7618%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,11,P. DIOP,86.4598%,31.7618%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,9,G. GUERRA LOZANO,70.1693%,15.8809%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,9,G. GUERRA LOZANO,29.6192%,79.6567%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,34,E. OGUNFOLU,67.4894%,72.9766%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,11,P. DIOP,16.8547%,46.5084%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,9,G. GUERRA LOZANO,87.0945%,48.0209%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,17,A. PEREZ GALVAN,87.0945%,48.0209%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,9,G. GUERRA LOZANO,29.9718%,17.6455%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,9,G. GUERRA LOZANO,76.4457%,49.7854%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,30,A. ALONSO LANTIGUA,73.7659%,84.8243%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,17,A. PEREZ GALVAN,87.2355%,46.5084%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,9,G. GUERRA LOZANO,12.4824%,45.248%,True,1,CB LA MATANZA,True
TOSCONES CORRALEJO,11,P. DIOP,93.9351%,6.93215%,False,1,CB LA MATANZA,True
TOSCONES CORRALEJO,11,P. DIOP,83.7094%,44.7439%,False,1,CB LA MATANZA,True
